client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
016099f3eca09d2769a4bcbef9d90cb9742b9b2bf2b6ad1d9ad937cfc05950da21463035a8f66e02d1ce21135adb47b4cea46a110e65c5d4c8f6e1a31a07b3f0	senatelecom_fa_18325365.mp3	از مهمونداری کنار بکشم	2	1				fa	
08c6e3ae4acdced8e01b6cdd184ab85238211761114f124eb3da44a63eb2edb9676810d7da72283bb5612c215366c1b5c4f960e7accbb1402d4d806f94cc9e01	senatelecom_fa_18960256.mp3	خب ، تو چیكار می كنی؟	2	0				fa	
0b8b07282e9b4f9b6495362396d6fd92e35443f3567b4d4274c21298f38ca5de039b9062af42f324f694c9357049d371f02c34166b031c943a66740af4517954	senatelecom_fa_21928528.mp3	مسقط پایتخت عمان در عربی به معنای محل سقوط است	2	0				fa	
0d02373503174ec83834e30c332811c63bd929c74fbc65391724f8277aaf7ff5fa7fadac6eed8f03649533f629c793c1eb5805cc629aec45543fb5142deff831	senatelecom_fa_19446941.mp3	آه، نه اصلاُ!	2	0				fa	
134a81fa8be98f84ff96f39f37bce55c9d91d96d66dd8b4d5303e5a3f49352f4d71e577668b077c358d7a0a404dda245eee4cdc577a6387949c96eab920865db	senatelecom_fa_18557643.mp3	دو استایل متفاوت دارین	2	1				fa	
159838ae5fc4118135778af4a16409c0efda5255966b9083b035ae47e2c13c69846047f184116f0ea73607792edc876d38c85541c9aa3628225f0079aa00794d	senatelecom_fa_19209861.mp3	دو روز قبل از کریسمس ؟	2	0				fa	
17085c00bc54ff5d70c3cb997a27c5e54c0b655465c691b6dc118fa1bb028a5c810ee586a1cb0c0084eb5a6046f1106b2990f46a7bec8cbc913d7db9063b5962	senatelecom_fa_19887398.mp3	ساعت های کاری چیست؟	2	1				fa	
19fad10862afc05ee90492b4cf3a5aa944c747d813e25d53513087bdd1b799f845f97ef96278c37eb5cf0386060e3dd97c8a97792e2645744e6558606e7a9fb2	senatelecom_fa_19208010.mp3	اعصابم اون شب خورد بود	2	0				fa	
1cd4200a6ff8494580c8e017c923b16b66ac0084f4e97f24111c4e59c86408e1dde2393143facd0ff95fd72334b7ebbed586379c781f9590a378521093be4d0d	senatelecom_fa_20323483.mp3	هیچ گل مینا دارید؟	2	1				fa	
1e6c8347aa6ed419acdabe37d66aa6b8282dcb8089319310ad23e6ba618411c28fecd47b001355c716a5d609610650e92d30f1b55394d0f93f62e72b0d06e150	senatelecom_fa_21807667.mp3	من در هفته چهاردهم بارداری هستم	2	0	thirties	male		fa	
1f660d2c0653aa4dd933cc1977f17ddbd9710df47133a8e8fb8f10f3295fc138e8b23a9642962b4e8574cd7f4284ec5149d4aec00931cb1dba5bd157057657fb	senatelecom_fa_18636711.mp3	ما با هم خیلی مچ هستیم	2	1	thirties	male		fa	
24282a24bc1f599d58a95cab2135b368cbef0ae07f1920e523add788863a52a5cfde6d932595c418033a146f43e33738ff7f4dfff1e5293d9afd9fea2325e330	senatelecom_fa_21915769.mp3	اجرای احجام ساده مثل کره	2	1				fa	
2481e48b83ee9a3a295e980d00ae986eb6063c50c49b971dfdc0a73393518b78e39d8eb8beb26da4566e858650413bff7b9f7c2b6275bc4a7c25bb15eb5e6fb5	senatelecom_fa_21808071.mp3	فقط قربانی تان را تخریب نکردید. شما خودتان را تخریب کردید	2	0				fa	
28b84bbd648000da5590fe180278e65dff28e5318e84383a2522147666d017c1e04876f320c7c2a351dd9dad28c979d8dff16db07c0d5bb94c1b72096ab2d9c8	senatelecom_fa_18594915.mp3	اما سرآخر، وا دادند	2	0	fourties	male		fa	
28f2ecc5233be35636da7101687e4d42c3f11a35846a727a6b3fd00e95140020e56a5b2f0af9350a1196cc3dab3777df39098f1e327c2a72462c3f6953f6a741	senatelecom_fa_18207007.mp3	ظاهر محصول ما چطوريه؟	2	0				fa	
2b7d8ea85bc5db104ec138927c4ed124b22829f93ef14ef6909aee9e0af583dc6b6d5f330fed5f7af4b62dc291d6e81f8d62565005f72f2f37d14c42e0228cba	senatelecom_fa_19505712.mp3	من از سو هاضمه رنج می برم.	2	0				fa	
2c14ffcbd599a3811fc9830c762c2f562b0c5fe60ade0450c8ea612dcfbabbc197a3f1fa561eaa3fef98407c5aa80187a86a599dcc6b09548a5818a033125768	senatelecom_fa_20901694.mp3	سازمان قضایی نیروهای مسلح	2	0				fa	
2c790b21c05f005796c0a33d8138b84771e4ceda07580e8072710afd126ef54e49c81208267a74a2576a26d8694c1661b94979e18feca078f67415d1118095ec	senatelecom_fa_21805717.mp3	هرچه قایق سبک تر بود تطبیق پذیرتر میشد	2	0				fa	
